type,category,name,workout_female,workout_male,scoring_method,scoring_notes,workout_notes
Benchmark,Hero,Rankel,,"225 pound Deadlift, 6 reps
7 Burpee pull-ups
10 Kettlebell swings, 2 pood
Run 200 meters

",AMRAP  (rounds),AMRAP 20 mins,"U.S. Marine Corps Sergeant John Rankel, 23, of Speedway, Indiana, assigned to 3rd Battalion, 1st Marine Regiment, 1st Marine Division, 1 Marine Expeditionary Force, based out of Camp Pendleton, California, was killed on June 7, 2010, while supporting combat operations in Helmand Province, Afghanistan. He is survived by mother and stepfather Don and Trisha Stockhoff; father and stepmother, Kevin and Kim Rankel; and brothers Nathan Stockhoff and Tyler Rankel."
Benchmark,Hero,Ricky,,"10 Pull-ups
75 pound dumbbell Deadlift, 5 reps
135 pound Push-press, 8 reps",AMRAP  (rounds),AMRAP 20 mins,"U.S. Army Sergeant William “Ricky” Rudd, 27, of Madisonville, Kentucky, assigned to the 3rd Battalion, 75th Ranger Regiment, based in Fort Benning, Georgia, died on October 5, 2008, from wounds suffered from enemy small arms fire while on a combat patrol in Mosul, Iraq. He is survived by his father William, stepmother Barbara Rudd, step brother Josh, mother Pamela Lam, and sister Elizabeth."
Benchmark,Hero,RJ,,"Run 800 meters
15 ft Rope Climb, 5 ascents
50 Push-ups",For time,5 rounds for time,"Veteran LAPD officer and United States Marine Corps Reservist Sergeant Major Robert J Cottle, 45, was killed by an improvised explosive device while on patrol in Southern Afghanistan on Wednesday, March 24, 2010. RJ joined the Marines at age 18, and the LAPD in 1990. His various LAPD assignments included Hollywood Vice, Southeast Area, LAPD Dive Team and, most recently, SWAT. He is survived by his wife Emily and 9 month old daughter Kaila. The LAPD established a trust fund for them."
Benchmark,Hero,Roy,,"225 pound Deadlift, 15 reps
20 Box jumps, 24 inch box
25 Pull-ups",For time,5 rounds for time,"Marine Corps Sgt. Michael C. Roy, 25, of North Fort Myers, Fla., assigned to the 3rd Marine Special Operations Battalion, Marine Special Operations Advisor Group, Marine Corps Forces Special Operations Command at Camp Lejeune, was killed in action on July 8th, 2009 in Nimroz Province, Afghanistan, while supporting combat operations. He is survived by his wife Amy and three children, Michael, Landon and Olivia."
Benchmark,Hero,Ryan,,"7 Muscle-ups
21 Burpees
*Each burpee terminates with a jump one foot above max standing reach.*",For time,5 rounds for time,"Maplewood, Missouri Firefighter, Ryan Hummert, 22, was killed by sniper fire July 21st 2008 when he stepped off his fire truck responding to a call. He is survived by his parents Andrew and Jackie Hummert."
Benchmark,Hero,Santiago,,"35 pound Dumbbell hang squat clean, 18 reps
18 Pull-ups
135 pound Power clean, 10 reps
10 Handstand push-ups",For time,7 rounds for time,"U.S. Army Sergeant Anibal Santiago, 37, of Belvidere, Illinois, assigned to the 3rd Battalion, 75th Ranger Regiment, stationed in Fort Benning, Georgia, died on July, 18, 2010, in Bagram, Afghanistan. He is survived by his wife, Mandy, sons Hannibal, Desmond, and Darian, and parents Anibal and Maria."
Benchmark,Hero,Santora,,"155 pound Squat cleans, 1 minute
20′ Shuttle sprints (20′ forward + 20′ backwards = 1 rep), 1 minute
245 pound Deadlifts, 1 minute
Burpees, 1 minute
155 pound Jerks, 1 minute
Rest 1 minute",For time,3 rounds for time,"U.S. Army Sergeant Jason A. Santora, of Farmingville, New York, assigned to the 3rd Battalion, 75th Ranger Regiment, based out of Fort Benning, Georgia, died in Logar province, Afghanistan on April 23, 2010, from wounds sustained during a firefight with insurgents. He is survived by his parents Gary and Theresa, and sister Gina.

"
Benchmark,Hero,Severin,,"50 Strict Pull-ups
100 Push-ups, release hands from floor at the bottom
Run 5K
If you've got a twenty pound vest or body armor, wear it.",For time,For time,"U.S. Army Sergeant First Class Severin W. Summers III, 43, of Bentonia, Mississippi, assigned to the 2nd Battalion, 20th Special Forces Group (Airborne), headquartered at Jackson, Mississippi, died August 2, 2009 in Qole Gerdsar, Afghanistan, after his vehicle was struck by a command wire improvised explosive device. Summers is survived by his wife Tammy Fraser and his daughters Jessica, Shelby & Sarah."
Benchmark,Hero,Small,"Row 1000 meters
50 Burpees
50 Box jumps, 20″ box
Run 800 meters","Row 1000 meters
50 Burpees
50 Box jumps, 24″ box
Run 800 meters",For time,3 rounds for time,"U.S. Army Staff Sergeant Marc Small, 29, of Collegeville, Pennsylvania, assigned to 1st Battalion, 3rd Special Forces Group (Airborne), based in Fort Bragg, North Carolina, died on February 12, 2009, from wounds sustained when insurgents attacked his unit with a rocket-propelled grenade launcher and small arms fire in Faramuz, Afghanistan. He is survived by his father and stepmother, Murray and Karen, mother and stepfather, Mary and Peter MacFarland, and fiancee Amanda Charney."
Benchmark,Hero,Stephen,,"GHD sit-up
Back extension
Knees to elbow
95 pound Stiff legged deadlift",For time,30-25-20-15-10-5(reps) for time,"Third Battalion, Princess Patricia’s Canadian Light Infantry member Corporal Stephen Bouzane, 26, was killed by an IED strike June 20th, 2007 in the Panjwaii district in Afghanistan. He is survived by his parents Fred and Moureen Bouzane and his sister Kelly."
Benchmark,Hero,The Seven,,"7 Handstand push-ups
135 pound Thruster, 7 reps
7 Knees to elbows
245 pound Deadlift, 7 reps
7 Burpees
7 Kettlebell swings, 2 pood
7 Pull-ups",For time,7 rounds for time,"A suicide bomber killed seven CIA officers and one Jordanian officer at a remote base in southeastern Afghanistan on December 30, 2009 after posing as a potential informant reporting on Al Qaeda. Seven new stars will be etched onto the memorial wall at the CIA where every star represents grieving friends, family and colleagues dedicated to fight against the enemy, forever in their name."
Benchmark,Hero,Thompson,,"15 ft Rope Climb, 1 ascent
95 pound Back squat, 29 reps
135 pound barbells Farmer carry, 10 meters

Begin the rope climbs seated on the floor. ",For time,10 rounds for time,"U.S. Army Captain David J. Thompson, 39, of Hooker, Oklahoma, commander of Operational Detachment Alpha 3334, Company C, 3rd Battalion, 3rd Special Forces Group (Airborne), based in Fort Bragg, North Carolina, was killed on January 29, 2010, while supporting combat operations in the Wardak Province of Afghanistan. Thompson is survived by his wife, Emily, their two daughters, Isabelle and Abigail, his parents, Charles and Freida, and his sister Alisha Mueller."
Benchmark,Hero,Tommy V,,"115 pound Thruster, 21 reps
15 ft Rope Climb, 12 ascents
115 pound Thruster, 15 reps
15 ft Rope Climb, 9 ascents
115 pound Thruster, 9 reps
15 ft Rope Climb, 6 ascents",For time,,"In honor of Senior Chief Petty Officer Thomas J. Valentine, 37, of Ham Lake, Minnesota, died in an training accident in Arizona, on Feb. 13 2008."
Benchmark,Hero,Tyler,,"7 Muscle-ups
21 reps 95 pound Sumo-deadlift high-pull",For time,5 rounds for time,"1LT Tyler E. Parten, 24, of Arkansas, died Sept. 10 in Konar province, Afghanistan, of wounds sustained when insurgents attacked his unit using rocket-propelled grenades and small arms fire. He was assigned to the 3rd Squadron, 61st Cavalry Regiment, 4th Brigade Combat Team, 4th Infantry Division, Fort Carson, CO."
Benchmark,Hero,War Frank,,"25 Muscle-ups
100 Squats
35 GHD situps",For time,3 rounds for time,"Captain Warren A. Frank, 26, of Cincinnati, Ohio, died November 25, 2008 while supporting combat operations in Ninewa province, Iraq. He was assigned to the 5th Air Naval Gunfire Liaision Company, III Marine Expeditionary Force, Okinawa, Japan. He is survived by his wife, Allison, and daughters Sophia Lynn and Isabella Grace."
Benchmark,Hero,Weaver,"10 L-pull-ups
15 Push-ups
15 Chest to bar Pull-ups
15 Push-ups
20 Pull-ups
15 Push-ups","10 L-pull-ups
15 Push-ups
15 Chest to bar Pull-ups
15 Push-ups
20 Pull-ups
15 Push-ups",For time,4 rounds for time,"U.S. Army First Lieutenant Todd W. Weaver, 26, of Hampton, Virginia, assigned to the 1st Battalion, 320th Field Artillery Regiment, 2nd Brigade Combat Team, 101st Airborne Division (Air Assault), based out of Fort Campbell, Kentucky, died on September 9, 2010, of wounds suffered when insurgents attacked his unit with a roadside bomb in Kandahar, Afghanistan. He is survived by his wife Emma, daughter Kiley, parents Don and Jeanne, and siblings Glenn, Adrianna, and Christina."
Benchmark,Hero,White,,"15′ Rope climb, 3 ascents
10 Toes to bar
21 Walking lunge steps with 45lb plate held overhead
Run 400 meters

",For time,5 rounds for time,"U.S. Army First Lieutenant Ashley White, 24, of Alliance, Ohio, assigned to the 230th Brigade Support Battalion, 30th Heavy Brigade Combat Team, North Carolina National Guard, based in Goldsboro, North Carolina, died on October 22, 2011 in Kandahar province, Afghanistan, from wounds suffered when insurgents attacked her unit with an improvised explosive device. She is survived by her husband Captain Jason Stumpf, her parents Robert and Deborah, brother Josh, and sister Brittney."
Benchmark,Hero,Whitten,,"22 Kettlebell swings, 2 pood
22 Box jump, 24 inch box
Run 400 meters
22 Burpees
22 Wall ball shots, 20 pound ball",For time,5 rounds for time,"Army Captain Dan Whitten, 28, of Grimes, Iowa, assigned to the 1st Battalion, 508th Parachute Infantry Regiment, 4th Brigade Combat Team, 82nd Airborne Division, based out of Fort Bragg, North Carolina, died February 2, 2010, when enemy forces in Zabul, Afghanistan, attacked his vehicle with an improvised explosive device. Whitten is survived by his wife, Starr Whitten, his mother, Jill Whitten, his father, Dan Whitten, and his sister, U.S. Army Captain Sarah Whitten."
Benchmark,Hero,Wilmot,"50 Squats
25 Ring dips","50 Squats
25 Ring dips",For time,6 rounds for time,"Canadian Forces Private Colin Wilmot, 24, of Fredericton, New Brunswick, assigned to the Second Battalion, Princess Patricia’s Canadian Light Infantry (2 PPCLI) Battle Group, based out of Edmonton, Alberta, died on July 6, 2008 from wounds suffered when an explosive device detonated near him in the Panjwali District of Afghanistan."
Benchmark,Hero,Wittman,,"1.5 pood Kettlebell swing, 15 reps
95 pound Power clean, 15 reps
15 Box jumps, 24"" box",For time,5 rounds for time,"U.S. Army Sergeant Jeremiah Wittman, 26, of Darby, Montana, assigned to the 1st Battalion, 12th Infantry Regiment, 4th Brigade Combat Team, 4th Infantry Division, based out of Fort Carson, Colorado, was killed on February 13, 2010, when insurgents attacked his unit with a roadside bomb in Zhari province, Afghanistan. He is survived by his daughters Miah and Ariauna, wife Karyn, siblings Robert H., Charity, Jenell, and Natasha, father Robert, and mother Cynthia Church."
Benchmark,Hero,Wood,,"Run 400 meters
10 Burpee box jumps, 24″ box
95 pound Sumo-deadlift high-pull, 10 reps
95 pound Thruster, 10 reps

Rest 1 minute",For time,5 rounds for time,"Australian Army Sergeant Brett Wood, 32, of Ferntree Gully, Victoria, assigned to the 2nd Commando Regiment, based in Sydney, New South Wales, died on May 23, 2011, in Helmand province, Afghanistan, after insurgents attacked him with an improvised explosive device. He is survived by his wife Elvi, his mother Allison, and his father David. Donations can be made in his name to the Commando Welfare Trust."
