id,name,website,address,city,state,phone
851,CrossFit Scars,http://www.crossfitscars.com/,640 Inverness Corners,Hoover,AL,(205) 999-2808
852,CrossFit Outer Banks,http://crossfitouterbanks.com/blog.htm,701 w. frresh pond dr.,kill devil hills,NC,(252) 202-1878
853,CrossFit Brea,http://crossfitbrea.com/,"4080 N. Palm St, Suite 802",Fullerton,CA,(714) 225-1451
854,CrossFit West Chester,http://www.crossfitwc.com/,"705 Old Westtown Road, Unit C",West Chester,PA,(610) 864-8522
855,CrossFit Malaysia,http://pushmore.blogspot.com/,"B-GF-23&23A, Block B, Merchant Square, No. 1 Jln Tropicana Selatan 1, PJU 3",Petaling Jaya,Selangor,6012-3900684
856,CrossFit Strength,http://crossfit-strength.com/,1111-E Hawthorne Ln,Charlotte,NC,(704) 560-6323
857,Heroes CrossFit,http://www.heroescrossfit.com/,3611 Fossilwood Way,Round Rock,TX,(512) 567-2434
858,CrossFit Springfield,http://www.crossfit-springfield.com,"1900 W Sunset, Bldg A Suite 116",Springfield,MO,(417) 830-6260
859,CrossFit Frederick,http://www.CrossFitFrederick.com,5112 Pegasus Ct. Suite Z,Frederick,MD,(301) 514-9844
860,CrossFit Santa Cruz Central,http://www.crossfitsantacruzcentral.com,2650 Research Park Drive,Soquel,CA,(831) 331-9174
861,CrossFit Off the Grid,http://www.crossfitoffthegrid.com,1165 N Truckahoe Rd,Williamstown,NJ,(609) 501-2383
862,CrossFit 801,http://www.crossfit801.com,673 West Whimpy Way,Midvale,UT,(801) 566-3048
863,CrossFit Augusta,http://www.quantumacademyevans.com/Crossfit-Augusta.html,766 Industrial Park Drive,Evans,GA,(706) 855-1981
864,CrossFit Coeur D'Alene,http://www.crossfitcda.com/,301 North 4th Street,Coeur D'Alene,ID,(509) 998-3185
865,Crossfit Okanagan,http://crossfitokanagan.com/,1033 Richter Street,Kelowna,BC,(250) 807-2269
866,CrossFit Resolute,http://www.crossfitresolute.com/,"1930 Airport Industrial Park Drive, Suite F",Marietta,GA,(678) 984-4142
867,CrossFit Montclair,http://www.guerrillafitness.net/,19 Elm Street,Montclair,NJ,(917) 776-9121
868,Capital CrossFit 2,http://www.gracieva.com/crossfit.php,23520 Overland Drive,Dulles,VA,(703) 346-8828
869,Brandt CrossFit,http://downtowncrossfit.blogspot.com,"1289 Hemphill, Suite 111",Fort Worth,TX,(817) 291-0675
870,CrossFit Taranis,http://www.crossfitvic.com,3-933 Ellery Street,Victoria,BC,(250) 220-5711
871,CrossFit Santa Cruz,http://www.crossfitsantacruz.com/,2521 Mission St Suite C,Santa Cruz,CA,(831) 239-7003
872,CrossFit Scotland,http://www.basixgym.com/pink_basix/flashintro.htm,Unit 16 Mackintosh Place South newmoor,Irvine,Ayrshire,7771648001
873,CrossFit Tri-Cities,http://www.tricitiescrossfit.com/,"761 N 17th Street, Suite 29",St. Charles,IL,(630) 492-0029
874,CrossFit Revolution,http://www.crossfitrevolution.typepad.com/,202 S. Moon Ave.,Brandon,FL,(813) 716-6717
875,CrossFit Grand Rapids,http://www.crossfitgr.com,850 Pannell St NW,Grand Rapids,MI,(616) 916-7210
876,CrossFit Saskatoon,http://www.crossfitsaskatoon.ca,#4-420 Lauriston Street,Saskatoon,SK,(306) 979-9348
877,MBS CrossFit,http://www.mbscrossfit.com,10900 W 120th Ave,Broomfield,CO,(720) 434-6282
878,CrossFit Redding,http://www.crossfitredding.com,2434 Progress Drive,Redding,CA,(530) 244-1348
879,Corridor CrossFit,http://www.fit2livegym.com/#/corridor-crossfit/,123 Hwy 1 West,Iowa City,IA,(319) 269-5360
880,CrossFit Playground,http://www.crossfitplayground.com/,"181 Upton Road, Suite D",Colchester,CT,(860) 680-5583
881,CrossFit Asheville,http://www.crossfitasheville.com/,4 South Tunnel Road,Asheville,NC,(828) 545-0236
882,CrossFit 305,http://crossfit305.com,5940 NE 4th Ave.,Miami,FL,(305) 809-6390
883,RedPoint CrossFit,http://www.climbredpoint.com,5213 Raeford Rd #103,Fayetteville,NC,(910) 868-7625
884,The Workout CrossFit,http://www.theworkoutcf.com/,"406 SE 131st Ave,",vancouver,WA,(360) 253-4767
885,CrossFit Castle Rock,http://thegymcr.com/crossfit.html,4760 Castleton Way,Castle Rock,CO,(720) 810-7191
886,CrossFit Murfreesboro,http://www.CrossFitMurfreesboro.com,"831 Park Avenue, Suite A",Murfreesboro,TN,(615) 904-5683
887,Flagler Beach CrossFit,http://www.flaglerbeachcrossfit.com/,"Flagler Square Plaza
2517 Moody Blvd.",Flagler Beach,FL,(386) 986-9381
888,Seacoast CrossFit,http://seacoastkettlebell.com/,505 Central Avenue,Dover,NH,(603) 767-4321
889,CrossFit West Houston,http://www.crossfitwesthouston.com/,8716 Longpoint Rd Suite 212,Houston,TX,(832) 331-2555
890,CrossFit St George,http://www.crossfitstgeorge.com/,"946 W Sunset Blvd, Unit A",St George,UT,(435) 275-2214
891,CrossFit Renegade,http://www.crossfitrenegade.com/home.html,Unit 6 6468 King George Blvd,Surrey,BC,(604) 765-7457
892,CrossFit Del Sol,http://www.martialarts-austin.com/crossfit.html,"11190 Circle Drive, Suite 103",Austin,TX,(512) 565-5179
893,CrossFit CenterMass,http://www.crossfitcentermass.com,356 Shrewsbury St,Worcester,MA,(508) 335-9902
894,CrossFit Riverside,http://www.crossfitriverside.com,7899 Mission Grove Parkway South,Riverside,CA,(951) 616-8106
895,Brethren CrossFit,http://www.brethrencrossfit.com/,675 Jarvis Drive,Morgan Hill,CA,(408) 390-3890
896,CrossFit Waco,http://www.CrossFitWaco.com,605 Austin Avenue,Waco,TX,(254) 716-3200
897,CrossFit Bogota,http://crossfitbogota.blogspot.com,,Bogota,,(917) 697-9434
898,CrossFit Proper,http://www.crossfitproper.com/,402 East Princeland Court,Corona,CA,(951) 316-3323
899,CrossFit Strong,http://www.crossfitstrong.com,4755 McEwen Road,Dallas,TX,(214) 575-9581
900,CrossFit Rebellion,http://www.crossfitrebellion.com/,3029 6th Ave S,Birmingham,AL,(205) 422-0721
901,CrossFit The Club,http://crossfittheclub.com/,1221 E. 5800 S.,South Ogden,UT,(801) 388-0587
902,CrossFit 27:17,http://www.crossfit2717.com/,513 Liberty Road,Flowood,MS,(601) 540-6917
903,King County CrossFit,http://www.kingcrossfit.com/,8201 164th Avenue Suite 200,Redmond,WA,(206) 499-4499
904,CrossFit New Hampshire,http://www.crossfitnewhampshire.com/,349 Hanover Street (Garage Gym Facility),Manchester,NH,(603) 759-6335
905,Sport of Fitness CrossFit,http://www.sportoffitness.com/,537-A Clemson Road,Columbia,SC,(540) 429-5841
906,CrossFit Center City,http://www.crossfitcc.blogspot.com,"1229 Chestnut Street
Basement",Philadelphia,PA,(609) 760-2173
907,CrossFit Jaguar,http://www.jaguarfit.com,11730 N Dale Mabry,Tampa,FL,(813) 416-6067
908,East Coast CrossFit,http://www.eastcoastcrossfit.com,1650 Hwy 1,Southern Pines,NC,(910) 315-6552
909,CrossFit Apex,http://www.crossfitapex.com/,"100 Emlen Way, Unit 116",Telford,PA,(215) 723-2790
910,CrossFit Triumph,http://www.crossfittriumph.net/,39976 US Highway 19,Tarpon Springs,FL,(727) 919-4302
911,CrossFit Jupiter,http://www.crossfitjupiter.com/,713 Commerce Way #41,Jupiter,FL,(561) 346-9011
912,CrossFit Dallas Central,http://www.dallascrossfit.com,5631 Dyer St,Dallas,TX,(979) 220-3089
913,CrossFit Tribe,http://crossfittribe.com/,7905 Browning Road,Pennsauken,NJ,(609) 828-0070
914,CrossFit Reading,http://www.crossfitreading.co.uk,Hodsall Road,Reading,Berkshire,0044 0751 369 004
915,CrossFit Pleasanton,http://www.crossfitpleasanton.com/,"7075 Commerce Circle, Suite B",Pleasanton,CA,(925) 353-4894
916,CrossFit 951,http://www.crossfit951.com/,"29723 New Hub Dr, Suite G",Menifee,CA,(619) 733-5698
917,CrossFit Alaska,http://www.revolutionsportstraining.com/CrossFit.htm,9191 Old Seward Highway Suite 10&11,Anchorage,AK,(907) 337-1990
918,CrossFit Run Jump Lift,http://www.runjumplift.com/,372 Lackawanna Pl.,South Orange,NJ,(973) 452-6850
919,CrossFit BLAST Fitness,http://www.crossfitblastfitness.com/,1212 Indy Pl,Indianapolis,IN,(317) 681-3031
920,Northwest CrossFit Bellevue,http://www.nwcrossfitbellevue.com/,13203 NE 16th Street,Bellevue,WA,(206) 234-8347
921,CrossFit Northern Ireland,http://theunitbelfast.com,"Unit 4, Linfield Industrial Estate
Linfield Road",Belfast,Northern Ireland,02890 233387
922,CrossFit Fire,http://www.crossfitfire.com,"500 Wegner Rd., Unit E",Lakemoor,IL,(847) 528-6086
923,CrossFit Stillwater,http://www.crossfitstillwater.blogspot.com/,"1615 N Country Club Rd, Suite D",Stillwater,OK,(405) 533-4033
924,Hudson Valley CrossFit,http://www.hudsonvalleycrossfit.com/,186 White Schoolhouse Road,Rhinebeck,NY,(845) 876-6760
925,Razor's Edge Fitness-CrossFit Pensacola,http://www.razorsedgefitness.com/,42 E. Garden Street,Pensacola,FL,(850) 485-2461
926,CrossFit San Rafael,http://www.tjsgym.com,2240 4th St,San Rafael,CA,(415) 456-1610
927,CrossFit by Overload,http://www.crossfitbyoverload.com/,41588-A Eastman Drive,Murrieta,CA,(951) 660-0041
928,CrossFit North Vancouver,http://www.crossfitbc.com,385 North Dollarton Hwy,North Vancouver,BC,(604) 683-2446
929,CrossFit West Vancouver,http://www.crossfitbc.com,1431 Clyde Ave,West Vancouver,BC,(604) 683-2446
930,CrossFit Canton,http://www.crossfitcanton.com,857 Hickory Flats Hwy Ste A,Canton,GA,(770) 633-4111
931,Progressive F.O.R.C.E. CrossFit,http://www.pfctraining.com/crossfit/crossfit.htm,950 S. Durango Blvd #120,Las Vegas,NV,(702) 496-6844
932,Point Blank CrossFit,http://www.pointblankcrossfit.com/,"110 Connaught Ave, #2",Aurora,ON,(905) 727-7300
933,CrossFit Flex Gym,http://crossfitflexgym.squarespace.com/,1400 Simms Blvd,Lakewood,CO,(303) 231-9992
934,CrossFit Cookeville,http://www.crossfitcookeville.com/,1160 N. Peachtree Ave,Cookeville,TN,(931) 372-6278
935,CrossFit South City,http://www.crossfitsouthcity.com/,4924 Hampton Avenue,St.Louis,MO,(314) 322-2330
936,CrossFit Lehigh Valley,http://www.crossfitlehighvalley.com/crossfit-lehigh-valley-swim-program,320 East 1st Street,Bethlehem,PA,(610) 349-6981
937,CrossFit Belltown,http://www.crossfitbelltown.com/,2301 2nd Ave,Seattle,WA,(206) 443-5968
938,Centerville CrossFit,http://www.centervillecrossfit.com/,923 Senate Dr.,Centerville,OH,(937) 216-6756
939,CrossFit El Paso East,http://www.crossfitelpasoeast.com,11444 Rojas,El Paso,TX,(915) 276-0110
940,CrossFit Brevard,http://www.crossfitbrevard.com/,"234 South Broad Street, Unit A",Brevard,NC,(828) 553-7860
941,CrossFit Gotham,http://www.crossfitgotham.com,605 N Macquesten Parkway,Mt. Vernon,NY,(917) 575-6336
942,CrossFit Vero Beach,http://www.crossfitverobeach.com/,760 8th Court Suite 4,Vero Beach,FL,(772) 584-3745
943,Bulldog CrossFit,http://www.bulldog-crossfit.com/,1520 Hannah Ave,Forest Park,IL,(866) 966-3966
944,CrossFit LifeSport,http://www.crossfitlifesport.com,"1 Davis building, Madison ave.",Toledo,OH,(419) 450-9056
945,CrossFit Combat Fitness,http://www.crossfitcombatfitness.com/,5057 N Cedar Ave,Fresno,CA,(559) 708-0977
946,CrossFit Midland,http://www.crossfitmidland.com,5204 N Lamesa Rd,Midland,TX,(432) 312-8769
947,CrossFit Ignite,http://crossfitignite.com/,"33 South Maple Ave, Unit C",Park Ridge,NJ,(973) 879-1210
948,IMT CrossFit,http://www.IMTFinc.com,"12600 SW 130, Suites 11 & 12",Miami,FL,(305) 878-5601
949,Blue Ridge CrossFit,http://www.blueridgecrossfit.com,21 Design Avenue Suite B,Fletcher,NC,(828) 329-9056
950,CrossFit Inertia,http://www.inertiacrossfit.com/,11760 Marco Beach Drive #2,Jacksonville,FL,(904) 310-5955
951,CrossFit Mass,http://www.crossfitmass.com/,1 Union Street,Lawrence,MA,(617) 909-5453
952,CrossFit Corvallis,http://venividivicifitness.squarespace.com/,350 SW Wakerobin #8,Corvallis,OR,(541) 760-7389
953,CrossFit Imperial Valley,http://www.crossfitamundson.com,505 Industry Way,Imperial,CA,(760) 355-1900
954,CrossFit Bloomington,http://crossfitbloomington.com/,3903 South Walnut Street,Bloomington,IN,(812) 345-8373
955,CrossFit Versus,http://www.adrenalinenj.com/crossfit.cfm,307 7th Avenue,Asbury Park,NJ,(732) 212-0232
956,CrossFit FTF,http://www.crossfitftf.com,349 N. Minnewawa Clovis,Clovis,CA,(916) 470-3782
957,Alternative Athletics CrossFit,http://alternativeathletics.com,808 4th Ave N,Billings,MT,(619) 540-6022
958,CrossFit Colosseum,http://www.crossfitcolosseum.com,222 Islington Ave Unit 4,Etobicoke,ON,(416) 948-7204
959,CrossFit 509,http://www.crossfit509.com/,"9107 North Country Homes Blvd, Suite B1",Spokane,WA,(509) 879-6985
960,CrossFit Yaletown,http://www.crossfitbc.com,1232 Richards Street,Vancouver,BC,(604) 683-2446
961,CrossFit BC,http://www.crossfitbc.com,1232 Richards Street,Vancouver,BC,(604) 683-2446
962,Valhalla CrossFit,http://valhallacrossfit.blogspot.com/,,Gardez,Paktia,(253) 203-6901
963,CrossFit Twin Cities,http://www.crossfittc.com/,6493 Sycamore Ct.,Maple Grove,MN,(763) 559-7091
964,CrossFit Hawaii,http://www.hardassfitness.blogspot.com/,432 Keawe Street,Honolulu,HI,(808) 256-5665
965,Fitness Battalion CrossFit,http://www.fitnessbattalion.com,"1000 Northside Drive
Suite 400",Atlanta,GA,(404) 607-7424
966,CrossFit CFT,http://www.crossfitcft.com/,"209 River Hills Drive, Suite 13",Nashville,TN,(615) 469-2381
967,CrossFit Middle Tennessee (MT),http://www.crossfitmt.com,1209 Lakeview Drive,Franklin,TN,(615) 429-2208
968,Compound CrossFit,http://compoundcrossfit.com,905 Live Oak Drive,Chesapeake,VA,(757) 319-7649
969,CrossFit Fort Myers,http://www.crossfitfortmyers.com,10970 South Cleveland Avenue,Fort Myers,FL,(239) 281-2436
970,CrossFit Excel,http://crossfitexcel.com/WOD/,"1433 Moffat Blvd, Ste. 1",Manteca,CA,(209) 249-9929
971,CrossFit Infinity,http://www.crossfitsurreyuk.blogspot.com,17 Essendene Road,Caterham,England,447917011814
972,Lowcountry CrossFit,http://lowcountrycrossfit.com,1320 Stuart Engal Blvd,Mt. Pleasant,SC,(843) 607-1179
973,CrossFit Connection,http://www.crossfitconnection.com,755 Griffith Court,Burlington,ON,(905) 633-8486
974,CrossFit New Zealand,http://www.crossfitnewzealand.co.nz/,71 Merton Road,Auckland,Auckland,6421450079
975,CrossFit Milford,http://www.crossfitmilford.com,49 Research Drive,Milford,CT,(203) 376-8107
976,CrossFit West,http://www.crossfitwest.com/,350 Coral Street,Santa Cruz,CA,(831) 325-6353
977,Chandler CrossFit,http://www.chandlercrossfit.com,24215 S 122nd St,Chandler,AZ,(480) 206-3410
978,M & M CrossFit,http://mmcrossfit.com/,313 Wright Brothers Avenue,Livermore,CA,(925) 980-4663
979,CrossFit Sunshine Coast,http://www.crossfitsunshinecoast.com.au/,10 Sydal Street,Caloundra,QLD,(041) 068-9809
980,CrossFit Leiftime Fitness,http://www.crossfitleiftimefitness.com,6056 E Baseline Rd # 129,Mesa,AZ,(480) 241-1972
981,CrossFit Nation,http://www.crossfit-nation.com/,411 Needwood Ave,Easton,MD,(410) 924-8001
982,CrossFit Queens,http://crossfitqueensny.com/,18-31 27th Avenue,Astoria,NY,(917) 402-2910
983,CrossFit X,http://www.crossfitx.com/,3130 Howe Pl. Suite 102,Bellingham,WA,(360) 223-2051
984,CrossFit Shoals,http://www.crossfitshoals.com/,3690 Savannah Hwy,Florence,AL,(256) 762-9397
985,No Excuses Athletics CrossFit,http://www.noexcusesathletics.com,3580 Lawrenceville-Suwanee Rd,Suwanee,GA,(770) 380-7033
986,CrossFit Willow Glen,http://www.crossfitwillowglen.com,1701 Little Orchard St #20,San Jose,CA,(408) 605-2772
987,CrossFit North East England,http://crossfitnee.typepad.com,West 15 Whickam View,Newcastle upon Tyne,,+44 (0) 7786 91
988,CrossFit Greenville,http://www.crossfitgreenville.blogspot.com/,106 W. 5th St.,Greenville,NC,(252) 258-0972
989,CrossFit Lineage,http://www.crossfitlineage.com/,7525-72A Street NW,Edmonton,AB,(780) 231-6339
990,CrossFit Wilmington,http://www.crossfitwilmington.com,6603 Market Street - Unit 1,Wilmington,NC,(910) 690-0331
991,Harbor City CrossFit,http://harborcitycrossfit.com,2735 Center Place Suite 110,Melbourne,FL,(321) 600-0902
992,CrossFit Reebok Peru,http://www.CrossFitPeru.com,Av. San Luis cuadra 24 s/n,San Borja,Lima,(511) 447-1510
993,CrossFit Zone,http://www.crossfitzone.ca,708 Pembroke St,Victoria,BC,(250) 478-9444
994,CrossFit Body Lab,http://www.thebodylab.net/,2300 S College Avenue,Bryan,TX,(817) 480-5910
995,Go CrossFit,http://gocrossfit.com/main/,209 10th Ave S #149,Nashville,TN,(615) 251-1500
996,Crossfit Pickering,http://www.crossfitpickering.com,"1698 Bayly Street, Unit 5",Pickering,ON,(905) 492-0999
997,CrossFit Black Diamond,http://crossfitblackdiamond.com,925 Goleta St,Oceanside,CA,(619) 865-5384
998,CrossFit PEI,http://www.crossfitpei.ca,40 Enman Crescent,Charlottetown,PE,(902) 894-4400
999,CrossFit Mansfield,http://www.crossfitmansfield.com,107 West Dallas Street,Mansfield,TX,(817) 995-0954
1000,CrossFit South County,http://www.crossfitsouthcounty.com,26941 Cabot #137,Laguna Hills,CA,(949) 874-2372
1001,CrossFit Creation,http://www.crossfitemeraldcoast.com,5140 Omega Way,Colorado Springs,CO,(719) 377-0089
1002,CrossFit Hoboken,http://www.crossfithoboken.com,38 Jackson St,Hoboken,NJ,(201) 259-4020
1003,CrossFit East Decatur,http://www.crossfiteastdecatur.com/,185 Laredo Drive,Decatur,GA,(404) 371-1355
1004,DEFY!,http://www.defylimitations.com/,"6850 W 116th Ave, Unit A",Broomfield,CO,(720) 560-1586
1005,Crossfit Cache Valley,http://crossfitcachevalley.com/,840 North 50 West,Logan,UT,(435) 760-0024
1006,Lone Star Crossfit,http://www.lonestarcrossfit.com/,439 Willow Grove,San Antonio,TX,(210) 316-1677
1007,CrossFit South Philly,http://www.crossfitsouthphilly.com/,744 South 11th Street,Philadelphia,PA,(860) 982-8575
1008,Potomac CrossFit,http://www.potomaccrossfit.com,2130 N Glebe Road,Arlington,VA,(202) 683-9537
1009,Viking CrossFit,http://www.vikingcrossfit.com/,350 West 800 North,Orem,UT,(801) 226-1014
1010,CrossFit Wyre Forest,http://www.crossfitwyreforest.com/,"Unit 4 Lax Lane Craft Centre
Lax Lane",Bewdley,Worcs,7866634898
1011,Ludington CrossFit,http://www.ludingtoncrossfit.com,401 East Dowland Street,Ludington,MI,(231) 357-4328
1012,CrossFit Charters Towers,http://www.crossfitcharterstowers.com/,28 Phillipson Road,Charters Towers,Queensland,(040) 922-4495
1013,Again Faster,http://www.againfaster.com/,"31 Dwight St., Apt 1",Brookline,MA,
1014,CrossFit Brand X,http://www.brandxmartialarts.com/,432 Maple Street,Ramona,CA,(760) 788-8091
1015,CrossFit Missoula,http://www.crossfitmissoula.com/,2115 1/2 South Avenue W,Missoula,MT,(406) 396-4069
1016,CrossFit ATM,http://www.crossfitatm.com/,7610 Eastmark Dr.,College Station,TX,(979) 492-7014
1017,CrossFit Ann Arbor,http://www.hyperfitusa.com/,"670 Airport Blvd., Suite 3",Ann Arbor,MI,(734) 730-0188
1018,CrossFit Arizona,http://www.crossfitaz.typepad.com/,"3151 N. Piper Avenue, Suite 101-A",Casa Grande,AZ,(480) 797-4034
1019,CrossFit Atlanta,http://www.crossfitatlanta.com,1483-A Chattahoochee Ave,Atlanta,GA,(404) 862-6580
1020,CrossFit Boston,http://www.crossfitboston.com/,114 Western Avenue,Boston,MA,(617) 903-4658
1021,CrossFit Calgary,http://www.crossfitcalgary.ca/,#11 - 141 Crowfoot Way NW,Calgary,AB,(403) 284-4403
1022,CrossFit Central,http://www.crossfitcentral.com/,6205-A Burnet Rd.,Austin,TX,(512) 791-7215
1023,CrossFit Champions,http://www.crossfitchampions.com/,"17575 North Eldridge Parkway, Suite C",Tomball,TX,(281) 826-2321
1024,CrossFit Chicago,http://www.crossfitchicago.com/,1444 W. Willow #R,Chicago,IL,(773) 281-0411
1025,CrossFit Chula Vista,http://www.crossfitchulavista.com/,821 Kuhn Dr. Suite 106,Chula Vista,CA,(619) 934-9934
1026,CrossFit DC,http://www.crossfitdc.com/,2200 California Street NW,Washington,DC,(202) 841-6217
1027,CrossFit Denver,http://www.crossfitdenver.com/,130 Lipan St,Denver,CO,(720) 515-9348
1028,Diablo CrossFit,http://www.diablocrossfit.com/,2447 Estand Way,Pleasant Hill,CA,(925) 465-0015
1029,CrossFit DPL Vancouver Island,http://dplcrossfit.com/,"#135-1057 Langford Parkway, Victoria, BC",Victoria,BC,(250) 391-8761
1030,CrossFit Eastside,http://www.crossfiteastside.com/,2869 152nd Ave NE,Redmond,WA,(206) 228-2333
1031,Jet City CrossFit,http://jetcitycrossfit.com/,1115 S. Elizabeth Street,Seattle,WA,(425) 516-9014
1032,CrossFit St. Pete,http://www.stpetecrossfit.com,2740 25th St. N,St. Petersburg,FL,(580) 284-0653
1033,CrossFit Cincinnati,http://crossfitcincinnati.net/,6717 Montgomery Road,Cincinnati,OH,(513) 351-0600
1034,CrossFit Ethos,http://www.crossfitethos.com/,"23001 Del Lago Dr.,
Suite B-2",Laguna Hills,CA,(949) 305-3334
1035,CrossFit Threshold,http://crossfitthreshold.wordpress.com/,12157 SW 124 Ct,Miami,FL,(305) 546-7368
1036,South Baltimore CrossFit,http://www.southbaltimorecf.com/,1100 Russel St,Baltimore,MD,(443) 223-1736
1037,Treasure Coast CrossFit,http://www.treasurecoastcrossfit.com,"155 Sebastian Blvd, Suite 103",Sebastian,FL,(609) 364-8459
1038,CrossFit Hollywood North,http://www.crossfithollywoodnorth.com/,"407 N Hollywood Road, Suite B",Houma,LA,(985) 381-5231
1039,Reebok CrossFit Ramsay,http://crossfitramsay.com/,2600 Portland St SE,Calgary,AB,(403) 969-8362
1040,CrossFit Hollywood,http://www.crossfithollywood.com,"310 S. La Brea, Unit C",Los Angeles,CA,(619) 981-2739
1041,DeSoto CrossFit,http://desotocrossfit.com/custom/home.html,"478 Marathon Way, Ste. 5&6",Southaven,MS,(901) 409-5591
1042,CrossFit Grants Pass,http://www.crossfitgp.com,1588 Southeast N Street,Grants Pass,OR,(541) 295-0703
1043,CrossFit Inferno,http://www.crossfit-inferno.com,207 Suburban Rd Unit 1,San Luis Obispo,CA,(805) 710-2019
1044,CrossFit Durham,http://www.crossfitdurham.com/,410 West Geer Street,Durham,NC,(571) 224-3706
1045,CrossFit Alliance,http://www.crossfitalliance.com/,"600 Laurens Road, Unit E",Greenville,SC,(864) 420-1646
1046,CrossFit Charleston,http://crossfitcharleston.blogspot.com/,"450 Deanna Lane, Unit B2",Wando,SC,(843) 670-1370
1047,CrossFit Lake City,http://www.crossfitlakecity.com/,195 E Hazel Ave,Coeur D'Alene,ID,(509) 378-6125
1048,CrossFit Lake Country,http://www.crossfitlakecountry.com/,1115 Cottonwood Avenue,Hartland,WI,(262) 227-3447
1049,Level 10 CrossFit,http://www.level10crossfit.com/,2628 Lincoln Blvd.,Oroville,CA,(530) 403-9866
1050,CrossFit Ballina,http://ffsc.com.au/crossfit-ballina/crossfit/,14 Endeavour Close,Ballina,NSW,61266869010
1051,CrossFit Fairfax,http://www.crossfitfairfax.com/,2799-G Merrilee Drive,Fairfax,VA,(703) 626-0232
1052,CrossFit Flagstaff,http://crossfitflagstaff.com/,1072 E. Old Canyon Ct,Flagstaff,AZ,
1053,CrossFit Gulf Coast,http://www.crossfitgulfcoast.com/,"4463 Ashton Road, Unit C",Sarasota,FL,(941) 228-8341
1054,CrossFit Huntington Beach (HB),http://crossfithb.com/,18392 Enterprise Lane Suite 2,Huntington Beach,CA,(714) 553-9226
1055,CrossFit HEL,http://www.crossfithel.com/,"4830 NE MLK
Portland, OR 97211",Tigard,OR,(503) 522-0233
1056,CrossFit Kansas City,http://www.coachrut.blogspot.com/,5317 W 94th Terrace,Prairie Village,KS,(913) 940-2668
1057,CrossFit London UK,http://www.crossfitlondonuk.com/,Arch 9 Malcolm Place,Bethnal Green,London,0208-519-9831
1058,CrossFit Long Beach,http://www.crossfitlongbeach.com/,2431 Orange Avenue,Signal Hill,CA,(562) 492-6951
1059,CrossFit Las Vegas,http://www.crossfitlasvegas.com/,7540 Dean Martin Dr. Ste 508,Las Vegas,NV,(702) 306-7692
1060,CrossFit Los Angeles (LA),http://www.crossfitla.com,3201 Santa Monica Blvd.,Santa Monica,CA,(310) 260-9550
1061,CrossFit Marina,http://crossfitmarina.typepad.com/,"15541 Product Lane, #103",Huntington Beach,CA,(714) 720-7239
1062,CrossFit Melbourne,http://www.crossfitmelbourne.com.au/,"First floor, 904 Glen Huntly Rd",Caulfield South,VIC,(040) 936-9748
1063,CrossFit Michiana,http://www.crossfitmichiana.com/,2830 Dexter Drive,Elkhart,IN,(574) 243-2355
1064,CrossFit Mikes Gym,http://www.mikesgym.org/,32067 Via Vera,Bonsall,CA,(760) 941-5852
1065,CrossFit Montreal,http://crossfitmontreal.ca/,4850 Saint-Ambroise suite 100,Montreal,QC,(514) 838-6073
1066,CrossFit Gymert Nederland,http://www.crossfitgymert.nl/,Amer 37,5422 VP Gemert,,0031-492-324967
1067,CrossFit Newcastle,http://www.crossfitnewcastle.com.au,1 Stephen St Georgetown,Newcastle,NSW,
1068,CrossFit Seattle,http://www.crossfitseattle.com,4201 9th Ave NW,Seattle,WA,(206) 992-7330
1069,CrossFit NYC,http://www.crossfitnyc.org/,25 West 26th Street,New York,NY,(212) 274-1085
1070,CrossFit Oahu,http://www.crossfitoahu.com/,556 Reed Lane,Honolulu,HI,(808) 351-0466
1071,CrossFit Oakland,http://www.crossfitoakland.com/,1313 67th Street,Emeryville,CA,(510) 985-0210
1072,CrossFit Ocean City,http://www.crossfitocmd.com/,10815 Gray's Corner Rd,Berlin,MD,(443) 235-3207
1073,CrossFit One World,http://crossfitoneworld.com/,33415 Western Ave,Union City,CA,(510) 209-8990
1074,CrossFit Forever Strong,http://www.crossfitforeverstrong.com,375 E. Warner Rd Ste. #3,Chandler,AZ,(480) 899-3343
1075,CrossFit GutCheck,http://www.crossfitgutcheck.com/,"16 Bishop Lane
Town Line Park",Rockland,MA,(781) 837-0881
1076,CrossFit Spotsy,http://www.crossfitspotsy.com/,"11812 Main St., Building C, C102 A",Fredericksburg,VA,(540) 898-3823
1077,CrossFit Lakeway,http://web.mac.com/shaw21/LEF/CrossFit.html,"1909 Ranch Rd South, F & G",Austin,TX,(512) 689-3798
1078,CrossFit Affliction,http://www.crossfitaffliction.com/,10400 State Road 84 #103,Davie,FL,(954) 214-0676
1079,Atomic CrossFit,http://www.atomiccrossfit.com/,"12999 Murphy Road, I-1",Stafford,TX,(281) 794-6698
1080,CrossFit Performance,http://www.crossfitperformance.com/,"85 Mill Plain Road, Suite G",Fairfield,CT,(203) 550-0041
1081,CrossFit Santa Barbara,http://www.crossfit-santabarbara.com/,209 Gray Avenue,Santa Barbara,CA,(805) 448-4999
1082,CrossFit Richardson,http://www.crossfitrichardson.com,15757 Coit Rd. #320,Dallas,TX,(214) 636-3555
1083,CrazyWife CrossFit,http://www.crazywifecrossfit.com/,975 Terraceside Circle,Clarksville,TN,(503) 887-0238
